ID,SMILES,ST Gap,HL Gap
276,c1cnc2cc(-c3ccc4c(c3)oc3ccccc34)cnc2c1,0.9172,4.06538316
277,c1cncc(-c2ccc(-c3ccc4c(c3)oc3ccccc34)cc2)c1,1.1016,4.30756462
278,c1ccc2c(c1)oc1cc(-c3ccc(-c4cnccn4)cc3)ccc12,0.9701,4.034634278
279,c1ccc(-c2ccc(-c3ccc4c(c3)oc3ccccc34)cn2)nc1,1.0415,4.146745246
280,c1ccc2c(c1)oc1cc(-c3c4[nH]cnc4nc4nc[nH]c34)ccc12,0.9825,4.201168046
281,c1ccc2c(c1)oc1cc(-c3nc4nc5nc[nH]c5nc4[nH]3)ccc12,1.0609,3.74837035
282,c1ccc2c(c1)[nH]c1cc(-c3ccc4c(c3)oc3ccccc34)ccc12,0.9778,4.194909424
283,c1cnc2c(c1)-c1cc(-c3ccc4c(c3)oc3ccccc34)cnc1[SiH2:2]2,1.0606,4.289060868
284,c1cnc2[nH]c3cc(-c4ncns4)ccc3c2c1,0.9396,4.043069812
285,c1cc(-c2ccc3c(c2)[nH]c2ncccc23)c2nccnc2c1,0.7037,3.680613964
286,N#Cc1ccc(-c2ccc3c(c2)[nH]c2ncccc23)c(C#N)c1C#N,0.4913,3.625102708
287,c1cnc2[nH]c3cc(-c4nc5nc6ncoc6nc5o4)ccc3c2c1,0.8461,3.695852348
288,c1ccc2c(c1)[nH]c1cc(-c3ccc4c(c3)[nH]c3ncccc34)ccc12,0.9898,4.138581826
